指标编号,合同指标,投标模块拆分,技术模块拆分,对应前端菜单,实现思路,排期（人日）
F-03.01,提供引接任务的配置管理（创建、编辑、发布、启动、暂停、终止和查询引接任务）,引接任务配置管理模块,MOD-004 引接任务编排与调度,数据引接 / 离线引接任务管理；数据引接 / 实时引接任务管理,直接复用现有能力：批/流定义及 single/multi/script 模式已存在。不新建平行模块，补齐页面归类、合同术语和真实环境回归，形成“创建、编辑、发布、启动、暂停、终止和查询引接任务”验收证据。,4
F-03.02,支持引接任务状态实时监控及汇总分析（展示任务和实例状态、吞吐、行数、耗时及汇总）,引接任务配置管理模块;任务实时监控告警模块,MOD-005 监控告警、态势与故障辅助,运行运维 / 运行监控,基于现有能力改造：JobMetricsMonitor、StreamingJobMetricsMonitor 和实例状态已存在。补齐“展示任务和实例状态、吞吐、行数、耗时及汇总”，沿用现有数据模型、接口和页面主干，避免重复建设。,8
F-03.03,具备实时、周期性自定义频率的任务调度（支持立即触发、Quartz 周期和自定义频率调度）,引接任务调度模块,MOD-004 引接任务编排与调度,数据引接 / 离线引接任务管理；数据引接 / 实时引接任务管理,基于现有能力改造：批任务 cron 调度和启动/停止接口存在；实时任务通常常驻。补齐“支持立即触发、Quartz 周期和自定义频率调度”，沿用现有数据模型、接口和页面主干，避免重复建设。,6
F-03.04,具备批量创建作业功能（支持批量创建、执行、暂停和状态查看）,批量任务作业模块,MOD-004 引接任务编排与调度,数据引接 / 离线引接任务管理,直接复用现有能力：前端批量 API 和批量执行/暂停接口已存在。不新建平行模块，补齐页面归类、合同术语和真实环境回归，形成“支持批量创建、执行、暂停和状态查看”验收证据。,3
F-03.05,一个任务管理多张表的数据同步（Guide Multi 模式在单任务内配置并同步多张表）,单任务多表同步模块,MOD-004 引接任务编排与调度,数据引接 / 离线引接任务管理；数据引接 / 实时引接任务管理,直接复用现有能力：Batch/Streaming Guide Multi 和分析器已存在。不新建平行模块，补齐页面归类、合同术语和真实环境回归，形成“Guide Multi 模式在单任务内配置并同步多张表”验收证据。,4
F-03.06,出错后提供错误告警和错误日志辅助快速恢复（失败状态触发告警并可查看日志和定位任务实例）,任务实时监控告警模块,MOD-005 监控告警、态势与故障辅助,运行运维 / 告警管理；运行运维 / 故障辅助,基于现有能力改造：日志接口、告警规则/通道/记录和异步告警引擎存在。补齐“失败状态触发告警并可查看日志和定位任务实例”，沿用现有数据模型、接口和页面主干，避免重复建设。,8
F-03.07,图形化拖拽方式自定义配置引接模式和输出目标库类型（通过可视化流程配置 Source、Transform、Sink 及策略参数）,引接策略配置模块,MOD-004 引接任务编排与调度,数据引接 / 离线引接任务管理；数据引接 / 实时引接任务管理,基于现有能力改造：批/流 workflow 页面与 HOCON Builder 已存在。补齐“通过可视化流程配置 Source、Transform、Sink 及策略参数”，沿用现有数据模型、接口和页面主干，避免重复建设。,8
F-04.01,具备源业务系统数据清查摸底统计能力（盘点数据源、库表、字段和数据分布并形成统计/清查报告）,源业务系统数据清查模块,MOD-002 数据源管理与数据探查,引接资源 / 数据探查,集成既定外部系统或成熟组件：SeaTunnel 元数据访问部分可用；OpenMetadata 拟提供统一资产目录。通过公开 API、连接器、事件或 SSO 完成“盘点数据源、库表、字段和数据分布并形成统计/清查报告”，先 PoC 再固化版本与边界。,8
F-04.02,对数据源单位、数据模型、数据库、数据源进行管理维护（维护归属单位、模型、数据库、数据源状态和停用注销）,数据湖管理模块,MOD-002 数据源管理与数据探查,引接资源 / 数据源管理,基于现有能力改造：数据源 CRUD/状态可复用；单位和模型管理需与 OpenMetadata 对齐。补齐“维护归属单位、模型、数据库、数据源状态和停用注销”，沿用现有数据模型、接口和页面主干，避免重复建设。,8
F-05.01,包括模板设计（设计、分类、版本化和复用采集报告模板）,模板设计模块,MOD-001 数据采报与采集报告,数据采报 / 采集报告管理,集成既定外部系统或成熟组件：TDuck 提供表单模板和基础图表，不等于复杂报告模板。通过公开 API、连接器、事件或 SSO 完成“设计、分类、版本化和复用采集报告模板”，先 PoC 再固化版本与边界。 前置条件：明确报告版式复杂度。,8
F-05.02,报告生成（支持手动、批量和定时生成报告并记录状态）,报告生成模块,MOD-001 数据采报与采集报告,数据采报 / 采集报告管理,在现有平台内简单自研“支持手动、批量和定时生成报告并记录状态”，复用当前任务、调度、日志或页面框架，不建设独立大平台。现状：当前仓库无报告生成主干；可复用调度。,12
F-05.03,导出分发（支持 Excel、Word、PDF、CSV、在线预览、批量压缩和受控分发）,导出与分发模块,MOD-001 数据采报与采集报告,数据采报 / 采集报告管理,基于现有能力改造：TDuck 支持数据导出/打印/预览；完整格式和分发不足。补齐“支持 Excel、Word、PDF、CSV、在线预览、批量压缩和受控分发”，沿用现有数据模型、接口和页面主干，避免重复建设。 前置条件：需选择 Word/PDF 模板引擎。,10
F-06.01,支持数据物理入湖（通过批或流任务把全量/增量数据真实写入湖存储）,数据物理入湖模块,MOD-003 在线引接与物理入湖,数据引接 / 离线引接任务管理；数据引接 / 实时引接任务管理；入湖管理 / 入湖资源管理,基于现有能力改造：SeaTunnel Source/Sink 和 HOCON 主干可复用，具体湖 Connector 待确认。补齐“通过批或流任务把全量/增量数据真实写入湖存储”，沿用现有数据模型、接口和页面主干，避免重复建设。 前置条件：冻结目标湖类型和 Connector。,12
F-06.02,支持数据逻辑入湖（建立跨源元数据映射和受控逻辑访问入口）,数据逻辑入湖模块,MOD-009 入湖资源与数据生命周期,入湖管理 / 逻辑入湖管理,按批准范围有限实现“建立跨源元数据映射和受控逻辑访问入口”，优先采用固定规则、指定场景和可解释结果，不扩展为通用平台。现状：OpenMetadata 可做元数据映射但不执行联邦查询；当前无虚拟化引擎。 前置条件：真实联合查询需专项选型，不能用元数据页面冒充。,8
F-07.01,提供传输链路加密（Web、外部组件、Engine 与数据源之间使用批准的加密链路）,传输链路加密模块,MOD-007 数据安全与 SSO 集成,全局横切能力（SSO、API 鉴权及链路安全，无独立业务菜单）,集成既定外部系统或成熟组件：可使用 TLS/数据库安全协议；国密和字段级加密未实现。通过公开 API、连接器、事件或 SSO 完成“Web、外部组件、Engine 与数据源之间使用批准的加密链路”，先 PoC 再固化版本与边界。 前置条件：国密产品和合规口径需安全评审。,10
F-07.02,提供身份鉴权功能（人员用户和权限统一接入既有 SSO；终端和外部服务使用独立身份执行认证授权并记录审计）,采集端身份鉴权模块,MOD-007 数据安全与 SSO 集成,全局横切能力（SSO、API 鉴权及链路安全，无独立业务菜单）,集成既定外部系统或成熟组件：SSO 已确定为人员身份与权限唯一权威源；SeaTunnel-Web 现有本地登录/用户代码待适配；设备和服务身份待设计。通过公开 API、连接器、事件或 SSO 完成“人员用户和权限统一接入既有 SSO；终端和外部服务使用独立身份执行认证授权并记录审计”，先 PoC 再固化版本与边界。,15
F-08.01,支持云边协同数据同步（支持云边全量镜像和增量差异同步并保持一致性）,云边数据同步控制模块,MOD-008 云边同步与协议接入,数据引接 / 云边协同任务管理,集成既定外部系统或成熟组件：当前仓库无边缘控制面或同步代理。通过公开 API、连接器、事件或 SSO 完成“支持云边全量镜像和增量差异同步并保持一致性”，先 PoC 再固化版本与边界。 前置条件：限定 PoC 环境，不承诺通用边缘平台。,20
F-08.02,支持边缘离线缓存（断网时持久化暂存并在恢复后按优先级续传）,边缘采集缓存模块,MOD-008 云边同步与协议接入,数据引接 / 云边协同任务管理,在现有平台内简单自研“断网时持久化暂存并在恢复后按优先级续传”，复用当前任务、调度、日志或页面框架，不建设独立大平台。现状：当前仓库无边缘缓存实现。 前置条件：只在指定边缘节点实现。,15
F-08.03,实现云端指令与边缘端数据协同交互（云端下发采集任务，边缘执行并双向同步状态）,云边任务协同模块,MOD-008 云边同步与协议接入,数据引接 / 云边协同任务管理,集成既定外部系统或成熟组件：现有任务 API 可作为云端控制面，缺边缘代理。通过公开 API、连接器、事件或 SSO 完成“云端下发采集任务，边缘执行并双向同步状态”，先 PoC 再固化版本与边界。 前置条件：边缘代理协议待定。,12
F-09.01,提供可视化态势大屏（汇聚任务、链路、数据源和告警状态形成可钻取大屏）,态势可视化展示模块,MOD-005 监控告警、态势与故障辅助,运行运维 / 引接态势,在现有平台内简单自研“汇聚任务、链路、数据源和告警状态形成可钻取大屏”，复用当前任务、调度、日志或页面框架，不建设独立大平台。现状：现有任务指标、状态和告警可作为数据源，缺统一大屏。,10
F-09.02,支持运行效率分析（统计成功率、吞吐、时延、完成率和瓶颈趋势）,运行效率分析模块,MOD-005 监控告警、态势与故障辅助,运行运维 / 运行监控,基于现有能力改造：指标采集已存在，历史聚合和分析需补。补齐“统计成功率、吞吐、时延、完成率和瓶颈趋势”，沿用现有数据模型、接口和页面主干，避免重复建设。,6
F-10.01,提供协议解析引擎（通过插件接入并解析明确列出的异构协议）,多协议接入解析模块,MOD-008 云边同步与协议接入,数据引接 / 边缘接入任务管理,集成既定外部系统或成熟组件：当前数据源 SPI 可借鉴，但无通用边缘协议运行时。通过公开 API、连接器、事件或 SSO 完成“通过插件接入并解析明确列出的异构协议”，先 PoC 再固化版本与边界。 前置条件：先取得明确协议清单和样例报文。,15
F-10.02,提供协议转换引擎（将选定协议数据转换为内部规范模型）,接入协议转换模块,MOD-008 云边同步与协议接入,数据引接 / 边缘接入任务管理,基于现有能力改造：SeaTunnel Transform 可处理数据转换，缺协议层标准模型。补齐“将选定协议数据转换为内部规范模型”，沿用现有数据模型、接口和页面主干，避免重复建设。,10
F-10.03,兼容多源异构协议与数据格式（管理协议规则、版本和向下兼容策略）,协议版本兼容模块;协议规则管理模块,MOD-008 云边同步与协议接入,数据引接 / 边缘接入任务管理,在现有平台内简单自研“管理协议规则、版本和向下兼容策略”，复用当前任务、调度、日志或页面框架，不建设独立大平台。现状：当前仓库无协议注册表。,10
F-11.01,记录全链路操作日志与数据轨迹（关联用户操作、任务版本、实例、节点状态、日志和关键摘要）,采集操作记录模块,MOD-005 监控告警、态势与故障辅助,运行运维 / 运行监控；运行运维 / 故障辅助,基于现有能力改造：任务日志/实例/指标存在；统一审计关联和关键快照不足。补齐“关联用户操作、任务版本、实例、节点状态、日志和关键摘要”，沿用现有数据模型、接口和页面主干，避免重复建设。,8
F-11.02,支持操作可视化回放（基于已记录事件重放任务节点和状态时间线）,操作过程回放模块,MOD-005 监控告警、态势与故障辅助,运行运维 / 故障辅助,按批准范围有限实现“基于已记录事件重放任务节点和状态时间线”，优先采用固定规则、指定场景和可解释结果，不扩展为通用平台。现状：有日志和指标事件，缺回放页面与规范事件模型。 前置条件：明确不回放完整数据内容。,6
F-11.03,支持故障定位（区分数据源、网络、Connector、Engine、目标端和配置故障并提供证据）,源头故障定位模块;故障处置与优化模块,MOD-005 监控告警、态势与故障辅助,运行运维 / 故障辅助,按批准范围有限实现“区分数据源、网络、Connector、Engine、目标端和配置故障并提供证据”，优先采用固定规则、指定场景和可解释结果，不扩展为通用平台。现状：现有错误日志/告警可作为事实，缺统一分类和根因引擎。 前置条件：自动修复仅允许批准的安全动作。,8
F-12.01,支持引接链路配置（统一表示源、目标、逻辑映射、带宽配额和优先级）,引接链路配置模块,MOD-006 引接链路与数据拓扑,数据引接 / 引接链路管理,基于现有能力改造：批/流任务已表达源、目标和映射；当前无独立链路聚合模块。补齐“统一表示源、目标、逻辑映射、带宽配额和优先级”，沿用现有数据模型、接口和页面主干，避免重复建设。 前置条件：优先复用任务定义，不复制任务模型。,10
F-12.02,支持链路动态调度（基于任务状态和基础设施信号执行批准的启停/切换策略）,链路动态调度模块,MOD-006 引接链路与数据拓扑,数据引接 / 引接链路管理,按批准范围有限实现“基于任务状态和基础设施信号执行批准的启停/切换策略”，优先采用固定规则、指定场景和可解释结果，不扩展为通用平台。现状：任务调度和状态存在；网络主备切换/分流不属于当前应用。 前置条件：不能把 cron 调度描述为网络主备切换。,6
F-12.03,支持链路性能优化并保障高可用（基于指标识别瓶颈并提供可控参数建议和故障恢复）,链路性能优化模块,MOD-006 引接链路与数据拓扑,数据引接 / 引接链路管理,按批准范围有限实现“基于指标识别瓶颈并提供可控参数建议和故障恢复”，优先采用固定规则、指定场景和可解释结果，不扩展为通用平台。现状：SeaTunnel 参数可配置，缺自动优化和网络高可用控制。,6
F-13.01,自动扫描多源数据资产（通过 OpenMetadata 连接器扫描数据源和资产结构）,数据源接入探测模块,MOD-002 数据源管理与数据探查,引接资源 / 数据探查,集成既定外部系统或成熟组件：SeaTunnel Catalog 部分可用；OpenMetadata 拟承担统一扫描。通过公开 API、连接器、事件或 SSO 完成“通过 OpenMetadata 连接器扫描数据源和资产结构”，先 PoC 再固化版本与边界。,6
F-13.02,智能构建数据拓扑（从 SeaTunnel DAG 和 OpenMetadata 血缘生成引接拓扑）,引接流向感知模块;拓扑智能构建模块,MOD-006 引接链路与数据拓扑,数据引接 / 数据拓扑管理,集成既定外部系统或成熟组件：任务 DAG 可解析；OpenMetadata 支持血缘，尚未集成。通过公开 API、连接器、事件或 SSO 完成“从 SeaTunnel DAG 和 OpenMetadata 血缘生成引接拓扑”，先 PoC 再固化版本与边界。,10
F-13.03,支持拓扑可视化管理（展示、筛选和钻取资产/链路拓扑）,拓扑可视化管理模块,MOD-006 引接链路与数据拓扑,数据引接 / 数据拓扑管理,基于现有能力改造：SeaTunnel 工作流画布可复用部分交互；缺全局拓扑页。补齐“展示、筛选和钻取资产/链路拓扑”，沿用现有数据模型、接口和页面主干，避免重复建设。,8
F-14.01,支持边缘终端低功耗接入和轻量化通信（在指定边缘设备上运行受资源约束的轻量接入代理）,边缘轻量协议引擎模块;边缘极简接入调度模块,MOD-008 云边同步与协议接入,数据引接 / 边缘接入任务管理,集成既定外部系统或成熟组件：当前仓库是 Web 控制面，无边缘运行时。通过公开 API、连接器、事件或 SSO 完成“在指定边缘设备上运行受资源约束的轻量接入代理”，先 PoC 再固化版本与边界。 前置条件：必须先取得硬件和资源阈值。,15
F-14.02,实现数据预处理（边缘侧执行限定的格式规整、过滤和压缩）,边缘数据格式预处理模块,MOD-008 云边同步与协议接入,数据引接 / 边缘接入任务管理,在现有平台内简单自研“边缘侧执行限定的格式规整、过滤和压缩”，复用当前任务、调度、日志或页面框架，不建设独立大平台。现状：SeaTunnel Transform 可复用规则思想，不能直接证明可在边缘运行。,10
F-14.03,实现安全防护（边缘代理执行轻量身份认证、链路加密和密钥更新）,边缘安全轻量防护模块,MOD-007 数据安全与 SSO 集成,全局横切能力（SSO、API 鉴权及链路安全，无独立业务菜单）,集成既定外部系统或成熟组件：当前无边缘安全实现。通过公开 API、连接器、事件或 SSO 完成“边缘代理执行轻量身份认证、链路加密和密钥更新”，先 PoC 再固化版本与边界。 前置条件：依赖 REV-004 安全方案。,10
F-15.01,进行采集数据有效期校验（按数据时间与策略在入湖前识别、拦截或标记过期数据）,采集数据时效校验模块,MOD-009 入湖资源与数据生命周期,入湖管理 / 数据生命周期管理,基于现有能力改造：可通过 SeaTunnel Transform 增加规则；当前无统一策略模型。补齐“按数据时间与策略在入湖前识别、拦截或标记过期数据”，沿用现有数据模型、接口和页面主干，避免重复建设。,7
F-15.02,进行暂存周期管理（为缓存/暂存数据配置 TTL、容量和清理策略）,采集数据暂存周期管理模块,MOD-009 入湖资源与数据生命周期,入湖管理 / 数据生命周期管理,在现有平台内简单自研“为缓存/暂存数据配置 TTL、容量和清理策略”，复用当前任务、调度、日志或页面框架，不建设独立大平台。现状：当前任务运行数据有持久化但无合同级采集缓存生命周期。,8
F-15.03,支持时效策略配置并优化存储资源（按数据源、类型、部门配置差异化有效期并展示效果）,时效策略配置模块,MOD-009 入湖资源与数据生命周期,入湖管理 / 数据生命周期管理,集成既定外部系统或成熟组件：可新增轻量策略配置；OpenMetadata 可提供新鲜度/质量上下文。通过公开 API、连接器、事件或 SSO 完成“按数据源、类型、部门配置差异化有效期并展示效果”，先 PoC 再固化版本与边界。,8
P-01,全量≥1000条/秒；增量≥500条/秒（在线全量和增量引接吞吐）,数据在线引接模块,MOD-003 在线引接与物理入湖,数据引接 / 离线引接任务管理；数据引接 / 实时引接任务管理,基于现有能力改造：SeaTunnel 执行能力存在，无本轮基准证据。补齐“在线全量和增量引接吞吐”，沿用现有数据模型、接口和页面主干，避免重复建设。 前置条件：最低线与响应线分别判定。,8
P-02,100MB Excel/DMP/Word≤90秒；SQL≤150秒（离线文件导入性能）,边缘采集缓存模块;数据填报及导入导出模块,MOD-009 入湖资源与数据生命周期,数据采报 / 数据采报管理；数据引接 / 离线引接任务管理,集成既定外部系统或成熟组件：当前无四类格式统一导入实现和基准。通过公开 API、连接器、事件或 SSO 完成“离线文件导入性能”，先 PoC 再固化版本与边界。 前置条件：必须先取得 DMP/Word/SQL 样例和成功口径。,12
P-03,启动≤5秒；管理在线任务≥1000（任务启动和管理容量）,引接任务调度模块,MOD-004 引接任务编排与调度,数据引接 / 离线引接任务管理；数据引接 / 实时引接任务管理,基于现有能力改造：任务生命周期代码存在，无 1500 任务容量证据。补齐“任务启动和管理容量”，沿用现有数据模型、接口和页面主干，避免重复建设。 前置条件：区分管理容量与并发执行容量。,8
P-04,低实时增量发现≤10分钟；高实时≤5秒（增量发现时效）,数据在线引接模块;文件夹增量同步模块,MOD-003 在线引接与物理入湖,数据引接 / 离线引接任务管理；数据引接 / 实时引接任务管理,基于现有能力改造：数据库 CDC 可复用；文件增量尚无实现。补齐“增量发现时效”，沿用现有数据模型、接口和页面主干，避免重复建设。 前置条件：时钟同步和发现测量点需固化。,8
P-05,异常任务告警≤5秒（异常任务告警时效）,任务实时监控告警模块,MOD-005 监控告警、态势与故障辅助,运行运维 / 告警管理,基于现有能力改造：异步告警引擎存在，无端到端时效基准。补齐“异常任务告警时效”，沿用现有数据模型、接口和页面主干，避免重复建设。 前置条件：外部通道网络时延是否计入需确认。,6
P-06,200字节结构化数据至少一种关系库间≥100MB/s（结构化小数据传输吞吐）,数据在线引接模块;数据物理入湖模块,MOD-003 在线引接与物理入湖,数据引接 / 离线引接任务管理；数据引接 / 实时引接任务管理,基于现有能力改造：JDBC Source/Sink 可复用，无本轮吞吐证据。补齐“结构化小数据传输吞吐”，沿用现有数据模型、接口和页面主干，避免重复建设。 前置条件：200MB/s 为高风险承诺，必须先做基准 PoC。,10
TOTAL,方案实施工作量合计（估算）,覆盖 traceability.csv 全部投标模块,MOD-001～MOD-009,覆盖全部规划菜单及全局横切能力,含方案细化、开发/改造、组件集成、PoC、自测、联调、验收材料和性能脚本；不含第三方采购、外部系统本体改造、环境等待及甲方协调等待时间。多人可并行，不能直接按人日换算自然日。,508
